Score,Reviews
3.2,可接受”預訂時尚套房但入住房間與照片不符合，cp值低，灰塵多，打掃不是很乾淨，浴室內有電視，但壞了，房間內蚊子多，小朋友被叮了好幾個，唯一讚賞的是餐廳阿姨會主動打招呼，不會在去第二次了
7.6,很好”冷氣不冷的問題處理速度快，員工態度十分客氣友善，但從10樓換到6樓後覺得床不太乾淨有癢癢過敏的問題，而且隔音也變差⋯
7.6,整潔舒適”房間乾淨整潔，近捷運，附近也有便利商店與洗衣店。下次也想再次住宿。
9.2,不錯的商務飯店”價錢合理，房間床很大，但是房間裡有點煙味，中央空調無法調高溫度，自助式早餐菜色還ok
8.0,"普通”優點：離捷運站很近，附近生活機能不錯
缺點：房間燈超少，所以顯得很暗，而且隔音不好;沒暖氣，所以冬天去不建議。"
9.2,"附停車位，住宿環境也不錯，CP值超高”1.飯店離景安捷運不遠,能快速到達市區（師大、台大、永康街）的捷運站，大推！
2.附近有711,稱不上熱鬧,但有零星店家可簡單解決午晚餐。
3.附有停車位，大推！
4.住宿的環境本身對外面街道的隔音很好，但是對於走廊的隔音不太好，是說好在每層大概5間房間左右，走動人潮是還能接受的。
5.早餐的部分普通，種類不多不少，中規中矩。
6.早飯的桌子確實少，大家是併桌吃飯，但個人感受上是能接受的。
7.飯店按摩浴缸很大，泡了好幾次澡，大推！
8.三星飯店，有一定的水準！
9.備品不少，有飲料、餅乾、還有入浴劑、乳液。

以上所有的感受來自個人，每點幾乎在普通～好評之間，好評居多。住宿時間為禮拜六，價格也很實惠，覺得CP值很高！下次來附近玩，一定要再在入住。
"
4.4,員工的服務態度可以毀掉所有優點”此次是因為剛好有家庭活動，因為距離離目的地較近，替親戚訂了五間房間，結果隔日詢問是否有房間可續訂房，10/26晚上6-7點左右打電話，櫃檯告知需晚上9點後才能入住，詢問是否會因較晚才能入住而房間有優惠，櫃檯回覆沒有且回話不耐煩，回話中大約說了三次左右，一直說你們確定再打來，詢問櫃台人員姓名，也顧左右而言他，故意不回覆姓名，且雙人房價位在agoda訂房為2000以內，當天報價是3500以上，基於交通因素考量，還是訂了，事後去check in詢問櫃台，櫃檯人員也說他不是接電話的人，各種推託責任，以飯店經驗來說，是遇過最差勁的服務品質，硬體也是普通，不能說差，但沒有好，比較過去住宿經驗，不管國內外，此間飯店給我的印象是最低的，不過還是推薦Agoda訂房，能夠有較優惠的方案以及看到更多人真實的體驗
6.0,普通”第一天入住已經很晚，到達房間想趕快洗澡，結果蓮蓬頭有點故障，出水很慢，還好外面還有浴缸的水可以使用。隔天跟櫃檯反應，說會請人看看，晚上回房後發現換了新的蓮蓬頭，真棒的飯店，有幫忙協助處理。
8.8,交通方便，cp值高”合理的價位，交通方便，房間乾淨整潔，有停車場
10.0,地點佳，還蠻安靜的，而且按摩浴缸很舒服！”覺得房間設備都不錯，早餐可吃飽，沒有太多樣。只是電梯只有一台，要等一下！有停車場，還不錯！
9.2,超棒”服務態度十分良好
6.4,"CP值不錯”優點：都很不錯！
缺點：早餐、停車問題！"
8.0,平日住宿cp值較大”離捷運站不遠，附近有餐飲店，房型大有雙人按摩浴缸，早餐普通，入住退房迅速
10.0,"很優”地點交通位置很好,價格也很合理,會推薦大家"
9.6,超棒”飯店整體上都還算不錯，早餐也好吃，不過後來看到窗簾有被燒破1個洞，可能是前房客抽煙的，真是沒公德心~
8.4,"還可以”外面天氣冷，房間內更冷，只有中央空調沒提供暖氣
半夜有老鼠在通風管道製造聲響"
8.0,簡單乾淨，位置優良”簡單乾淨，離捷運站近，適合個人旅行。
10.0,很棒”服務親切、CP值高
8.0,"很nice的飯店”員工服務很好，床很舒適，衛浴也很乾淨，早餐比較簡單。
離景安捷運站步行約五分鐘就到了，交通很方便。
很值得再住的旅館。"
7.6,鬧中取靜”近捷運
6.0,"很多設備故障 老舊”很多電燈壞掉
電視非常老舊"
4.8,位置及整潔度不錯但員工教育續練需加強”趴車先生人還不錯。浴室地板看起來有止滑墊但上面沒有鋪踩腳墊，讓人直接踩在扎腳的止滑墊上十分不舒服，經反映後，清潔人員僅拿一塊踩腳墊過來並說你自己鋪一鋪就好了，這似乎是入住前就應該要準備好的東西，且，裡面有兩塊止滑墊，但只有提供一塊踩腳墊，該人員連瞭解狀況的意願都沒有，實在令人無言。
7.6,不錯”非常好，位置方便，鬧中取靜。值得下次入住
6.4,"在喧嘩的住宅區中,安靜的飯店”雖位於住宅區中,想要用餐,飯店附近隨時都很方便,如百元小炒店,涮涮鍋店,水果店等.一應俱全,不怕消夜沒處去."
